Disease,"Christian-Christian ties count [min, max]","Christian-Christian ties percent [min, max]","Pagan-Pagan ties count [min, max]","Pagan-Pagan ties percent [min, max]","Christian-Pagan ties count [min, max]","Christian-Pagan ties percent [min, max]",CC>PP avg,CP>PP avg
Smallpox,"[912, 1078]","49.15 [46.02, 52.61]","[55, 114]","0.25 [0.17, 0.36]","[456, 650]","3.48 [2.86, 4.07]",✅,✅
